,restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
0,602,Campbell-Guzman,Mexican,New Christinebury,Dennis Maxwell DDS,15,+1-700-396-9961x616,2,80,TRUE
1,603,Casey LLC,Italian,Holtstad,Christopher Klein,12,861.278.5567,2,50,TRUE
2,604,Newman PLC,Italian,Pricemouth,Mary Santiago,33,(413)282-5867,2,17,TRUE
3,605,"Evans, Rivera and Yang",Italian,Christinamouth,Mary Jacobs,47,-1770,5,88,FALSE
4,606,Williams-Thompson,Indian,New Joseshire,Jessica Ortiz,16,-3622,1,2,TRUE
5,607,Brown and Sons,Chinese,Johnsonborough,Kelly Nunez,55,573.948.1642x2121,3,58,FALSE
6,608,Williams-Duarte,Chinese,Lake Lisaborough,Richard Smith,40,9589387693,5,41,FALSE
7,609,Lyons and Sons,Indian,Lake Janetside,Susan Anthony,54,(659)873-6633x2277,2,28,TRUE
8,610,Thompson Inc,Italian,Port Danielle,Ryan Marsh,50,512-634-2843x916,2,61,TRUE
9,611,Lynch PLC,Indian,New Jacquelineburgh,Steven Contreras,26,956-587-6518x69868,1,46,TRUE
10,612,Smith-Oconnor,Italian,Lake Kevinmouth,Jose Cox,52,+1-615-795-9429x81233,2,63,TRUE
11,613,Hill-Larsen,Mexican,Amandashire,Bryan Bernard,10,326-546-7008,3,34,TRUE
12,614,"Brown, Melendez and Moran",Mexican,North Laurachester,Christopher Randolph,60,5342103309,3,2,FALSE
13,615,"Clark, Johnson and Richardson",Indian,East Holly,Holly Singh,37,957.237.6217x6679,3,19,TRUE
14,616,Serrano Group,Mexican,Wrightside,Michael Robinson,39,(860)507-5888x388,2,79,TRUE
15,617,Kelly Inc,French,Davisport,Lucas Jimenez,44,515.221.8784,2,72,FALSE
16,618,Holt-Johnson,Italian,Gibsonshire,Joseph Pratt DDS,50,970.335.1018x2092,2,10,TRUE
17,619,Ross Ltd,Indian,Karlaburgh,Brittany Jordan,49,414.723.0424x9143,3,27,TRUE
